Name,Rarity,Class,Element,Type,Impact,Range,Shield Duration,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Charge Time,Magazine,Perks,Stability,Zoom,Recoil,Accuracy,Draw Time,Velocity,Blast Radius,Swing Speed,Guard Efficiency,Guard Resistance,Charge Rate,Ammo Capacity
HONOR'S EDGE,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Tempered Edge', 'Jagged Edge', 'Burst Guard', 'Enduring Guard', 'En Garde']",,0.0,,,,,,40.0,0.0,0.0,20.0,62.0
IT STARED BACK,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Hungry Edge', 'Jagged Edge', 'Enduring Guard', 'Burst Guard', 'Whirlwind Blade', 'Relentless Strikes']",,0.0,,,,,,40.0,0.0,0.0,20.0,60.0
JUST IN CASE,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Honed Edge', 'Burst Guard', ""Assassin's Blade"", 'Shattering Blade', 'Adaptive Frame', 'Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard"", 'Relentless Strikes', 'Tireless Blade', 'Shattering Blade', 'Whirlwind Blade', 'En Garde', ""Assassin's Blade""]",,0.0,,,,,,40.0,,,20.0,62.0
NEGATIVE SPACE,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Jagged Edge', 'Enduring Blade', 'Burst Guard', 'Balanced Guard', 'Whirlwind Blade']",,0.0,,,,,,40.0,0.0,0.0,20.0,60.0
NEGATIVE SPACE,Legendary,Any,Power,Sword,60.0,40.0,,,,,0.0,,,,,"['Adaptive Frame', 'Jagged Edge', 'Burst Guard', 'Tireless Blade', 'Whirlwind Blade', 'Adaptive Frame', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Hungry Edge', 'Enduring Blade', ""Swordmaster's Guard"", 'Enduring Guard', 'Heavy Guard', 'Burst Guard', 'Balanced Guard', 'Tireless Blade', 'Relentless Strikes', 'Energy Transfer', 'Surrounded', 'Disruption Break', 'Whirlwind Blade', 'Counterattack', 'Flash Counter', 'Impact', 'Boss Spec', 'Major Spec', 'Backup Mag', 'Surrounded Spec', 'Taken Spec', 'Minor Spec', 'Quick Access Sling', 'Sprint Grip']",0.0,0.0,,,,,,40.0,0.0,0.0,20.0,60.0
NIGHT TERROR,Legendary,Any,Power,Sword,60.0,40.0,,,,,0.0,,,,,"['Adaptive Frame', 'Hungry Edge', 'Honed Edge', 'Enduring Guard', 'Burst Guard', 'Relentless Strikes', 'Whirlwind Blade', 'Adaptive Frame', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Hungry Edge', 'Enduring Blade', ""Swordmaster's Guard"", 'Enduring Guard', 'Heavy Guard', 'Burst Guard', 'Balanced Guard', 'Tireless Blade', 'Relentless Strikes', 'Counterattack', 'Energy Transfer', 'Flash Counter', 'Vorpal Weapon', 'Unrelenting', 'Whirlwind Blade', 'En Garde', ""Assassin's Blade"", 'One for All', 'Thresh', 'Surrounded', 'Impact', 'Boss Spec', 'Major Spec', 'Backup Mag', 'Surrounded Spec', 'Minor Spec', 'Taken Spec', 'Sprint Grip', 'Rampage Spec']",0.0,0.0,,,,,,40.0,0.0,0.0,20.0,60.0
RAZOR'S EDGE,Legendary,Any,Power,Sword,60.0,40.0,,,,,0.0,,,,,"['Vortex Frame', 'Tempered Edge', 'Heavy Guard', 'Unrelenting', 'Thresh', 'Skulking Wolf', 'Vortex Frame', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Hungry Edge', 'Enduring Blade', 'Balanced Guard', ""Swordmaster's Guard"", 'Burst Guard', 'Enduring Guard', 'Heavy Guard', 'Unrelenting', ""Duelist's Trance"", 'Relentless Strikes', 'Wellspring', 'Tireless Blade', 'Energy Transfer', ""Assassin's Blade"", 'Frenzy', 'Chain Reaction', 'One for All', 'Thresh', 'Counterattack', 'Skulking Wolf', 'Impact', 'Boss Spec', 'Backup Mag', 'Major Spec', 'Quick Access Sling', 'Minor Spec', 'Radar Booster', 'Surrounded Spec', 'Sprint Grip']",0.0,0.0,,,,,,40.0,0.0,0.0,20.0,59.0
SOLA'S SCAR,Legendary,Any,Power,Sword,60.0,40.0,,,,,0.0,0.0,,,,"['Caster Frame', 'Hungry Edge', 'Balanced Guard', 'Tireless Blade', 'Thresh', 'Caster Frame', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Hungry Edge', 'Enduring Blade', ""Swordmaster's Guard"", 'Enduring Guard', 'Heavy Guard', 'Burst Guard', 'Balanced Guard', 'Tireless Blade', 'Relentless Strikes', 'Energy Transfer', 'Vorpal Weapon', 'Chain Reaction', 'Frenzy', 'En Garde', ""Assassin's Blade"", 'Thresh', 'Counterattack', 'Impact', 'Boss Spec', 'Major Spec', 'Backup Mag', 'Radar Booster', 'Quick Access Sling', 'Minor Spec', 'Dragonfly Spec', 'Sprint Grip']",0.0,0.0,,,,,,40.0,0.0,0.0,50.0,59.0
SOLA'S SCAR (ADEPT),Legendary,Any,Power,Sword,60.0,40.0,,,,,0.0,0.0,,,,"['Caster Frame', 'Hungry Edge', 'Balanced Guard', 'Tireless Blade', 'Thresh', 'Caster Frame', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Hungry Edge', 'Enduring Blade', ""Swordmaster's Guard"", 'Enduring Guard', 'Heavy Guard', 'Burst Guard', 'Balanced Guard', 'Tireless Blade', 'Relentless Strikes', 'Energy Transfer', 'Vorpal Weapon', 'Chain Reaction', 'Frenzy', 'En Garde', ""Assassin's Blade"", 'Thresh', 'Counterattack', 'Impact', 'Adept Big Ones Spec', 'Adept Impact', 'Boss Spec', 'Radar Booster', 'Adept Mag', 'Major Spec', 'Backup Mag', 'Quick Access Sling']",0.0,0.0,,,,,,40.0,0.0,0.0,50.0,59.0
STEEL SYBIL Z-14,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Jagged Edge', 'Honed Edge', 'Enduring Guard', 'Burst Guard', ""Assassin's Blade""]",,0.0,,,,,,40.0,0.0,0.0,20.0,59.0
STEEL SYBIL Z-14,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Jagged Edge', 'Honed Edge', 'Enduring Guard', 'Burst Guard', ""Assassin's Blade"", 'Whirlwind Blade', 'Adaptive Frame', 'Honed Edge', 'Jagged Edge', 'Hungry Edge', 'Tempered Edge', 'Enduring Blade', ""Swordmaster's Guard"", 'Enduring Guard', 'Heavy Guard', 'Burst Guard', 'Balanced Guard', 'Tireless Blade', 'Relentless Strikes', 'Whirlwind Blade', ""Assassin's Blade"", 'En Garde', 'Impact', 'Boss Spec', 'Backup Mag', 'Major Spec', 'Minor Spec', 'Taken Spec', 'Quick Access Sling', 'Radar Booster', 'Sprint Grip']",,0.0,,,,,,40.0,,,20.0,59.0
STRYKER'S SURE-HAND,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Tempered Edge', 'Balanced Guard', ""Assassin's Blade"", 'Surrounded', 'Adaptive Frame', 'Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard"", 'Tireless Blade', 'Relentless Strikes', ""Assassin's Blade"", 'En Garde', 'Surrounded', 'Whirlwind Blade']",,0.0,,,,,,40.0,,,20.0,60.0
TEMPTATION'S HOOK,Legendary,Any,Power,Sword,46.0,40.0,,,,,0.0,,,,,"['Caster Frame', 'Honed Edge', 'Balanced Guard', 'Tireless Blade', 'Surrounded', 'Caster Frame', 'Honed Edge', 'Jagged Edge', 'Tempered Edge', 'Hungry Edge', 'Enduring Blade', ""Swordmaster's Guard"", 'Enduring Guard', 'Heavy Guard', 'Burst Guard', 'Balanced Guard', 'Tireless Blade', 'Relentless Strikes', 'Energy Transfer', 'Surrounded', 'Vorpal Weapon', 'Whirlwind Blade', 'En Garde', 'Flash Counter', 'Impact', 'Boss Spec', 'Major Spec', 'Backup Mag', 'Surrounded Spec', 'Radar Booster', 'Taken Spec', 'Minor Spec', 'Quick Access Sling']",0.0,0.0,,,,,,40.0,0.0,0.0,50.0,55.0
THE OTHER HALF,Legendary,Any,Power,Sword,60.0,40.0,,,,,0.0,,,,,"['Adaptive Frame', 'Jagged Edge', 'Balanced Guard', 'Eager Edge', 'Frenzy', 'Adaptive Frame', 'Tempered Edge', 'Enduring Blade', 'Honed Edge', 'Hungry Edge', 'Jagged Edge', 'Enduring Guard', 'Heavy Guard', 'Balanced Guard', ""Swordmaster's Guard"", 'Burst Guard', 'Energy Transfer', ""Duelist's Trance"", 'Flash Counter', 'Relentless Strikes', 'Eager Edge', 'Energy Transfer', 'Flash Counter', ""Duelist's Trance"", 'Eager Edge', 'Surrounded', 'Frenzy', 'Repulsor Brace', 'Whirlwind Blade', 'Vorpal Weapon', 'Surrounded', 'Frenzy', 'Repulsor Brace', 'Vorpal Weapon', 'Hot Swap', 'Impact', 'Boss Spec', 'Quick Access Sling', 'Backup Mag', 'Major Spec', 'Minor Spec', 'Surrounded Spec', 'Radar Booster', 'Taken Spec']",0.0,0.0,,,,,,40.0,0.0,0.0,20.0,61.0
TRAITOR'S FATE,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Enduring Blade', 'Tempered Edge', 'Burst Guard', 'Enduring Guard', ""Assassin's Blade""]",,0.0,,,,,,40.0,0.0,0.0,20.0,62.0
UNSPOKEN PROMISE,Legendary,Any,Power,Sword,60.0,40.0,,,,,,,,,,"['Adaptive Frame', 'Hungry Edge', 'Honed Edge', 'Balanced Guard', 'Burst Guard', 'Relentless Strikes']",,0.0,,,,,,40.0,0.0,0.0,20.0,60.0
ZEPHYR,Legendary,Any,Power,Sword,60.0,50.0,,,,,,,,,,"['Adaptive Frame', 'Jagged Edge', 'Enduring Blade', 'Balanced Guard', 'Enduring Guard', 'Whirlwind Blade']",,0.0,,,,,,40.0,0.0,0.0,20.0,60.0
ZEPHYR,Legendary,Any,Power,Sword,60.0,40.0,,,,,0.0,,,,,"['Adaptive Frame', 'Honed Edge', 'Balanced Guard', 'Energy Transfer', 'Cold Steel', 'Adaptive Frame', 'Honed Edge', 'Jagged Edge', 'Hungry Edge', 'Tempered Edge', 'Enduring Blade', ""Swordmaster's Guard"", 'Enduring Guard', 'Heavy Guard', 'Burst Guard', 'Balanced Guard', 'Tireless Blade', ""Duelist's Trance"", 'Relentless Strikes', 'Unrelenting', 'Thresh', 'Energy Transfer', 'Cold Steel', 'Whirlwind Blade', 'Harmony', ""Assassin's Blade"", 'Flash Counter', 'Counterattack', 'Impact', 'Boss Spec', 'Major Spec', 'Backup Mag', 'Minor Spec', 'Taken Spec', 'Quick Access Sling', 'Surrounded Spec', 'Sprint Grip']",0.0,0.0,,,,,,40.0,0.0,0.0,20.0,60.0
CUBOID ARU,Rare,Any,Kinetic,Auto Rifle,29.0,54.0,,33.0,35.0,42.0,50.0,,450.0,,31.0,"['Precision Frame', 'Red Dot-ORS1', 'Red Dot-ORS', 'Armor-Piercing Rounds', 'Moving Target']",38.0,16.0,75.0,,,,,,,,,
CUBOID ARU,Rare,Any,Kinetic,Auto Rifle,29.0,54.0,,33.0,35.0,42.0,50.0,,450.0,,31.0,"['Precision Frame', 'Red Dot-ORS1', 'Red Dot-ORS', 'Armor-Piercing Rounds', 'Moving Target']",38.0,16.0,75.0,,,,,,,,,
LIONHEART,Rare,Any,Kinetic,Auto Rifle,21.0,44.0,,62.0,54.0,65.0,50.0,,600.0,,42.0,"['Adaptive Frame', 'IS 5 Circle', 'Model 8 Red', 'Mark 10 Glass', 'High-Caliber Rounds', 'Tactical Mag', 'Under Pressure']",39.0,16.0,55.0,,,,,,,,,
REBUKE AX-GL,Rare,Any,Kinetic,Auto Rifle,21.0,44.0,,57.0,50.0,56.0,40.0,,600.0,,41.0,"['Adaptive Frame', 'Red Dot 2 MOA', 'Rifle Scope ST', 'Extended Mag', 'High-Impact Reserves']",44.0,16.0,60.0,,,,,,,,,
ROS LYSIS II,Rare,Any,Kinetic,Auto Rifle,21.0,40.0,,57.0,50.0,70.0,47.0,,600.0,,42.0,"['Adaptive Frame', 'Red Dot-OAS', 'Quickdraw IS', 'Flared Magwell', 'Dynamic Sway Reduction']",34.0,16.0,47.0,,,,,,,,,
ROS LYSIS II,Rare,Any,Kinetic,Auto Rifle,21.0,40.0,,57.0,50.0,70.0,47.0,,600.0,,42.0,"['Adaptive Frame', 'Red Dot-OAS', 'Quickdraw IS', 'Flared Magwell', 'Dynamic Sway Reduction']",34.0,16.0,47.0,,,,,,,,,
HOLLESS-IV,Rare,Any,Kinetic,Combat Bow,76.0,,,45.0,40.0,58.0,40.0,,,,,"['Precision Frame', 'Agile Bowstring', 'Straight Fletching', ""Archer's Tempo""]",35.0,18.0,60.0,65.0,684.0,,,,,,,
AZIMUTH DSU,Rare,Any,Kinetic,Hand Cannon,92.0,50.0,,23.0,20.0,57.0,48.0,,120.0,,7.0,"['Aggressive Frame', 'Crossfire HCS', 'Fastdraw HCS', 'High-Caliber Rounds', 'Kill Clip']",17.0,14.0,88.0,,,,,,,,,
AZIMUTH DSU,Rare,Any,Kinetic,Hand Cannon,92.0,50.0,,23.0,20.0,57.0,48.0,,120.0,,7.0,"['Aggressive Frame', 'Crossfire HCS', 'Fastdraw HCS', 'High-Caliber Rounds', 'Kill Clip']",17.0,14.0,88.0,,,,,,,,,
BALLYHOO MK.27,Rare,Any,Kinetic,Hand Cannon,84.0,35.0,,42.0,38.0,67.0,47.0,,140.0,,10.0,"['Adaptive Frame', 'TrueSight HCS', 'SteadyHand HCS', 'Armor-Piercing Rounds', 'Hip-Fire Grip']",46.0,14.0,86.0,,,,,,,,,
BALLYHOO MK.27,Rare,Any,Kinetic,Hand Cannon,84.0,35.0,,42.0,38.0,67.0,47.0,,140.0,,10.0,"['Adaptive Frame', 'TrueSight HCS', 'SteadyHand HCS', 'Armor-Piercing Rounds', 'Hip-Fire Grip']",46.0,14.0,86.0,,,,,,,,,
GUSEVA-C,Rare,Any,Kinetic,Hand Cannon,92.0,56.0,,26.0,25.0,53.0,54.0,,120.0,,8.0,"['Aggressive Frame', 'SteadyHand HCS', 'Sureshot HCS', 'Flared Magwell', 'Steady Rounds', 'Moving Target']",21.0,14.0,88.0,,,,,,,,,
BAYESIAN MSU,Rare,Any,Kinetic,Pulse Rifle,29.0,35.0,,38.0,38.0,57.0,45.0,,390.0,,34.0,"['Adaptive Frame', 'Red Dot-ORS', 'Red Dot-ORS1', 'Alloy Magazine', 'Full Auto Trigger System']",47.0,17.0,66.0,,,,,,,,,
BAYESIAN MSU,Rare,Any,Kinetic,Pulse Rifle,29.0,35.0,,38.0,38.0,57.0,45.0,,390.0,,34.0,"['Adaptive Frame', 'Red Dot-ORS', 'Red Dot-ORS1', 'Alloy Magazine', 'Full Auto Trigger System']",47.0,17.0,66.0,,,,,,,,,
NANTY NARKER,Rare,Any,Kinetic,Pulse Rifle,23.0,24.0,,22.0,26.0,74.0,46.0,,540.0,,36.0,"['Rapid-Fire Frame', 'IS 5 Circle', 'Model 6 Loop', 'Mark 15 Lens', 'Steady Rounds', 'Alloy Magazine', 'Quickdraw']",40.0,17.0,60.0,,,,,,,,,
PSI CIRRUS II,Rare,Any,Kinetic,Pulse Rifle,23.0,22.0,,16.0,25.0,72.0,44.0,,540.0,,33.0,"['Rapid-Fire Frame', 'Red Dot-ORS1', 'TrueSight IS', 'Extended Mag', 'Auto-Loading Holster']",35.0,17.0,48.0,,,,,,,,,
PSI CIRRUS II,Rare,Any,Kinetic,Pulse Rifle,23.0,22.0,,16.0,25.0,72.0,44.0,,540.0,,33.0,"['Rapid-Fire Frame', 'Red Dot-ORS1', 'TrueSight IS', 'Extended Mag', 'Auto-Loading Holster']",35.0,17.0,48.0,,,,,,,,,
ARMILLARY PSU,Rare,Any,Kinetic,Scout Rifle,62.0,31.0,,43.0,36.0,62.0,44.0,,180.0,,16.0,"['Precision Frame', 'Red Dot-OAS', 'Focus Lens FLS2', 'High-Caliber Rounds', 'Quickdraw']",34.0,20.0,50.0,,,,,,,,,
ARMILLARY PSU,Rare,Any,Kinetic,Scout Rifle,62.0,31.0,,43.0,36.0,62.0,44.0,,180.0,,16.0,"['Precision Frame', 'Red Dot-OAS', 'Focus Lens FLS2', 'High-Caliber Rounds', 'Quickdraw']",34.0,20.0,50.0,,,,,,,,,
TRAX DYNIA,Rare,Any,Kinetic,Scout Rifle,60.0,27.0,,62.0,53.0,66.0,47.0,,200.0,,15.0,"['Lightweight Frame', 'Rifle Scope ST', 'Rifle Scope SSF', 'Armor-Piercing Rounds', 'Pulse Monitor']",30.0,20.0,47.0,,,,,,,,,
TRAX LYSIS II,Rare,Any,Kinetic,Scout Rifle,67.0,62.0,,21.0,29.0,27.0,48.0,,150.0,,11.0,"['High-Impact Frame', 'Focus Lens FLS2', 'Quickdraw IS', 'Steady Rounds', 'Full Auto Trigger System']",15.0,21.0,67.0,,,,,,,,,
TRAX LYSIS II,Rare,Any,Kinetic,Scout Rifle,67.0,62.0,,21.0,29.0,27.0,48.0,,150.0,,11.0,"['High-Impact Frame', 'Focus Lens FLS2', 'Quickdraw IS', 'Steady Rounds', 'Full Auto Trigger System']",15.0,21.0,67.0,,,,,,,,,
BADLANDS MK.24,Rare,Any,Kinetic,Shotgun,65.0,37.0,,62.0,54.0,42.0,10.0,,80.0,,7.0,"['Lightweight Frame', 'Rifled Barrel', 'Full Choke', 'Accurized Rounds', 'Full Auto Trigger System']",30.0,12.0,47.0,,,,,,,,,
BOTHERATION MK.28,Rare,Any,Kinetic,Shotgun,80.0,19.0,,20.0,29.0,27.0,28.0,,55.0,,5.0,"['Aggressive Frame', 'Hammer-Forged Rifling', 'Smallbore', 'Extended Mag', 'Auto-Loading Holster']",16.0,12.0,55.0,,,,,,,,,
RODERIC-C,Rare,Any,Kinetic,Sidearm,51.0,47.0,,32.0,18.0,82.0,25.0,,260.0,,9.0,"['Precision Frame', 'Control SAS', 'FarPoint SAS', 'Accurized Rounds', 'Rampage']",44.0,12.0,88.0,,,,,,,,,
RODERIC-C,Rare,Any,Kinetic,Sidearm,51.0,47.0,,32.0,18.0,82.0,25.0,,260.0,,9.0,"['Precision Frame', 'Control SAS', 'FarPoint SAS', 'Accurized Rounds', 'Rampage']",44.0,12.0,88.0,,,,,,,,,
AACHEN-LR2,Rare,Any,Kinetic,Sniper Rifle,70.0,40.0,,36.0,34.0,56.0,32.0,,90.0,,4.0,"['Adaptive Frame', 'EagleEye SLR20', 'Ambush SLH25', 'Armor-Piercing Rounds', 'Snapshot Sights']",36.0,40.0,50.0,,,,,,,,,
PHILIPPIS-B,Rare,Any,Kinetic,Submachine Gun,25.0,47.0,,16.0,12.0,50.0,25.0,,600.0,,26.0,"['Precision Frame', 'GA Post', 'GB Iron', 'Accurized Rounds', 'Dynamic Sway Reduction']",33.0,13.0,85.0,,,,,,,,,
PHILIPPIS-B,Rare,Any,Kinetic,Submachine Gun,25.0,47.0,,16.0,12.0,50.0,25.0,,600.0,,26.0,"['Precision Frame', 'GA Post', 'GB Iron', 'Accurized Rounds', 'Dynamic Sway Reduction']",33.0,13.0,85.0,,,,,,,,,
PROTOSTAR CSU,Rare,Any,Kinetic,Submachine Gun,20.0,33.0,,43.0,45.0,43.0,38.0,,900.0,,32.0,"['Adaptive Frame', 'Cleanshot IS', 'Hitmark IS', 'Appended Mag', 'Moving Target']",32.0,13.0,85.0,,,,,,,,,
PROTOSTAR CSU,Rare,Any,Kinetic,Submachine Gun,20.0,33.0,,43.0,45.0,43.0,38.0,,900.0,,32.0,"['Adaptive Frame', 'Cleanshot IS', 'Hitmark IS', 'Appended Mag', 'Moving Target']",32.0,13.0,85.0,,,,,,,,,
SONDOK-C,Rare,Any,Kinetic,Submachine Gun,25.0,57.0,,19.0,24.0,50.0,27.0,,600.0,,27.0,"['Precision Frame', 'GB Iron', 'SC Holo', 'Ricochet Rounds', 'Tactical Mag', 'Kill Clip']",31.0,13.0,87.0,,,,,,,,,
REFRAIN-23,Rare,Any,Energy,Auto Rifle,21.0,38.0,,50.0,30.0,62.0,45.0,,600.0,,47.0,"['Adaptive Frame', 'SLO-12 Post', 'SPO-57 Front', 'Ricochet Rounds', 'Rampage']",36.0,16.0,73.0,,,,,,,,,
REFRAIN-23,Rare,Any,Energy,Auto Rifle,21.0,38.0,,50.0,30.0,62.0,45.0,,600.0,,47.0,"['Adaptive Frame', 'SLO-12 Post', 'SPO-57 Front', 'Ricochet Rounds', 'Rampage']",36.0,16.0,73.0,,,,,,,,,
SAND WASP-3AU,Rare,Any,Energy,Auto Rifle,18.0,28.0,,40.0,45.0,70.0,47.0,,720.0,,48.0,"['Rapid-Fire Frame', 'Arrowhead Brake', 'Polygonal Rifling', 'High-Caliber Rounds', 'Dynamic Sway Reduction']",48.0,16.0,51.0,,,,,,,,,
SAND WASP-3AU,Rare,Any,Energy,Auto Rifle,18.0,28.0,,40.0,45.0,70.0,47.0,,720.0,,48.0,"['Rapid-Fire Frame', 'Arrowhead Brake', 'Polygonal Rifling', 'High-Caliber Rounds', 'Dynamic Sway Reduction']",48.0,16.0,51.0,,,,,,,,,
YELLOWJACKET-3AU,Rare,Any,Energy,Auto Rifle,18.0,28.0,,38.0,49.0,66.0,49.0,,720.0,,52.0,"['Rapid-Fire Frame', 'Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Accurized Rounds', 'Flared Magwell', 'Dynamic Sway Reduction']",47.0,16.0,56.0,,,,,,,,,
NOX CORDIS II,Rare,Any,Energy,Fusion Rifle,55.0,18.0,,45.0,42.0,29.0,47.0,,,500.0,6.0,"['Rapid-Fire Frame', 'Quickdraw IS', 'TrueSight IS', 'Liquid Coils', 'Rampage']",24.0,15.0,46.0,,,,,,,,,
NOX CORDIS II,Rare,Any,Energy,Fusion Rifle,55.0,18.0,,45.0,42.0,29.0,47.0,,,500.0,6.0,"['Rapid-Fire Frame', 'Quickdraw IS', 'TrueSight IS', 'Liquid Coils', 'Rampage']",24.0,15.0,46.0,,,,,,,,,
NOX LUMEN II,Rare,Any,Energy,Fusion Rifle,95.0,42.0,,17.0,15.0,55.0,14.0,,,960.0,4.0,"['High-Impact Frame', 'Fastdraw IS', 'Quickdraw IS', 'Accelerated Coils', 'Hip-Fire Grip']",20.0,15.0,67.0,,,,,,,,,
NOX LUMEN II,Rare,Any,Energy,Fusion Rifle,95.0,42.0,,17.0,15.0,55.0,14.0,,,960.0,4.0,"['High-Impact Frame', 'Fastdraw IS', 'Quickdraw IS', 'Accelerated Coils', 'Hip-Fire Grip']",20.0,15.0,67.0,,,,,,,,,
PARSEC TSU,Rare,Any,Energy,Fusion Rifle,95.0,44.0,,16.0,16.0,55.0,16.0,,,960.0,4.0,"['High-Impact Frame', 'TrueSight IS', 'Fastdraw IS', 'Particle Repeater', 'Field Prep']",19.0,15.0,64.0,,,,,,,,,
PARSEC TSU,Rare,Any,Energy,Fusion Rifle,95.0,44.0,,16.0,16.0,55.0,16.0,,,960.0,4.0,"['High-Impact Frame', 'TrueSight IS', 'Fastdraw IS', 'Particle Repeater', 'Field Prep']",19.0,15.0,64.0,,,,,,,,,
HARSH LANGUAGE,Rare,Any,Energy,Grenade Launcher,,,,65.0,68.0,75.0,60.0,,90.0,,1.0,"['Lightweight Frame', 'Linear Compensator', 'Quick Launch', 'Hard Launch', 'Blinding Grenades', 'Concussion Grenades', 'Field Prep']",29.0,13.0,60.0,,,75.0,100.0,,,,,
ALLEGRO-34,Rare,Any,Energy,Hand Cannon,84.0,34.0,,44.0,36.0,65.0,47.0,,140.0,,9.0,"['Adaptive Frame', 'SteadyHand HCS', 'TrueSight HCS', 'Ricochet Rounds', 'Opening Shot']",46.0,14.0,86.0,,,,,,,,,
ALLEGRO-34,Rare,Any,Energy,Hand Cannon,84.0,34.0,,44.0,36.0,65.0,47.0,,140.0,,9.0,"['Adaptive Frame', 'SteadyHand HCS', 'TrueSight HCS', 'Ricochet Rounds', 'Opening Shot']",46.0,14.0,86.0,,,,,,,,,
LAMIA HC2,Rare,Any,Energy,Hand Cannon,84.0,27.0,,62.0,54.0,81.0,45.0,,140.0,,11.0,"['Adaptive Frame', 'HitMark HCS', 'TrueSight HCS', 'Flared Magwell', 'Outlaw']",30.0,14.0,84.0,,,,,,,,,
LAMIA HC2,Rare,Any,Energy,Hand Cannon,84.0,27.0,,62.0,54.0,81.0,45.0,,140.0,,11.0,"['Adaptive Frame', 'HitMark HCS', 'TrueSight HCS', 'Flared Magwell', 'Outlaw']",30.0,14.0,84.0,,,,,,,,,
PRESTO-48,Rare,Any,Energy,Hand Cannon,84.0,35.0,,41.0,36.0,62.0,44.0,,140.0,,9.0,"['Adaptive Frame', 'TrueSight HCS', 'Sureshot HCS', 'Accurized Rounds', 'Timed Payload']",47.0,14.0,87.0,,,,,,,,,
AGRONA PR2,Rare,Any,Energy,Pulse Rifle,27.0,27.0,,60.0,53.0,66.0,45.0,,450.0,,28.0,"['Lightweight Frame', 'Spark PS', 'Transmission MS7', 'Flared Magwell', 'Zen Moment']",41.0,17.0,48.0,,,,,,,,,
AGRONA PR2,Rare,Any,Energy,Pulse Rifle,27.0,27.0,,60.0,53.0,66.0,45.0,,450.0,,28.0,"['Lightweight Frame', 'Spark PS', 'Transmission MS7', 'Flared Magwell', 'Zen Moment']",41.0,17.0,48.0,,,,,,,,,
ENCORE-25,Rare,Any,Energy,Pulse Rifle,29.0,35.0,,38.0,38.0,55.0,47.0,,390.0,,34.0,"['Adaptive Frame', 'SLO-12 Post', 'SPO-57 Front', 'High-Caliber Rounds', 'Outlaw']",46.0,17.0,67.0,,,,,,,,,
ENCORE-25,Rare,Any,Energy,Pulse Rifle,29.0,35.0,,38.0,38.0,55.0,47.0,,390.0,,34.0,"['Adaptive Frame', 'SLO-12 Post', 'SPO-57 Front', 'High-Caliber Rounds', 'Outlaw']",46.0,17.0,67.0,,,,,,,,,
BLACK TIGER-2SR,Rare,Any,Energy,Scout Rifle,45.0,20.0,,27.0,35.0,57.0,48.0,,260.0,,16.0,"['VEIST Rapid-Fire', 'Corkscrew Rifling', 'Extended Barrel', 'Armor-Piercing Rounds', 'Zen Moment']",37.0,20.0,55.0,,,,,,,,,
BLACK TIGER-2SR,Rare,Any,Energy,Scout Rifle,45.0,20.0,,27.0,35.0,57.0,48.0,,260.0,,16.0,"['VEIST Rapid-Fire', 'Corkscrew Rifling', 'Extended Barrel', 'Armor-Piercing Rounds', 'Zen Moment']",37.0,20.0,55.0,,,,,,,,,
MADRUGADA SR2,Rare,Any,Energy,Scout Rifle,60.0,27.0,,61.0,53.0,66.0,47.0,,200.0,,15.0,"['Lightweight Frame', 'Candle PS', 'Impulse MS3', 'Alloy Magazine', 'Explosive Payload']",32.0,20.0,46.0,,,,,,,,,
MADRUGADA SR2,Rare,Any,Energy,Scout Rifle,60.0,27.0,,61.0,53.0,66.0,47.0,,200.0,,15.0,"['Lightweight Frame', 'Candle PS', 'Impulse MS3', 'Alloy Magazine', 'Explosive Payload']",32.0,20.0,46.0,,,,,,,,,
SONATA-48,Rare,Any,Energy,Scout Rifle,62.0,39.0,,38.0,40.0,60.0,50.0,,180.0,,15.0,"['Precision Frame', 'SLO-10 Post', 'SPO-57 Front', 'SRO-37 Ocular', 'High-Caliber Rounds', 'Flared Magwell', 'Dragonfly']",37.0,20.0,62.0,,,,,,,,,
